log10(M_*[Msun]),sSFR[1/yr](20Myr),sSFR[1/yr](1Gyr),log10(M_HI[Msun]),sigma_*(<0.8kpc)[km/s],log10(M_BH[Msun])
12.521,1.2261e-12,9.9088e-13,10.565,369.47,8.2007
11.809,1.0696e-13,6.3302e-14,9.5624,198.28,9.1139
11.393,3.7658e-13,1.2489e-12,7.9284,158.62,8.649
10.964,2.4746e-12,4.656e-12,8.4243,113.76,8.4079
10.828,5.6017e-11,8.3166e-11,9.9013,84.2,7.8102
10.766,3.0422e-11,3.7439e-11,9.5805,78.018,7.4856
10.44,4.7486e-11,7.6848e-11,9.963,74.15,7.5371
10.469,1.1678e-10,9.7914e-11,9.8326,78.56,7.2962
10.405,9.1257e-11,8.686e-11,9.4224,75.596,7.6284
10.404,1.6446e-10,1.4969e-10,10.192,73.212,6.6274
10.227,1.4671e-10,1.4323e-10,10.154,68.909,6.491
10.014,3.0456e-10,1.4512e-10,10.187,52.57,6.5491
10.342,4.8231e-11,6.1958e-11,9.8392,69.994,6.7362
10.23,9.0937e-11,8.482e-11,9.9795,60.613,6.8368
10.444,0,0,-Inf,63.227,-Inf
9.8247,1.596e-10,1.1111e-10,9.9685,54.454,6.2254
9.8653,1.2192e-10,1.0998e-10,9.7403,61.805,6.6581
10.197,4.0412e-11,4.9106e-11,9.4031,69.458,7.335
10.116,0,1.8134e-12,8.6329,63.975,7.188
9.5719,1.082e-10,1.3898e-10,9.9154,54.847,6.1427
9.7284,1.9475e-10,1.1463e-10,9.8038,56.32,6.1776
10.091,2.34e-11,2.053e-11,9.3021,60.768,6.6883
9.9266,0,1.8532e-11,9.497,50.624,6.5456
9.4442,6.2272e-11,7.622e-11,9.4065,40.165,6.5277
9.3835,1.0825e-10,8.6253e-11,9.5989,46.163,6.3687
9.8636,0,1.339e-12,8.2238,45.501,-Inf
9.3996,2.2799e-10,1.1695e-10,9.4545,46.011,6.2252
9.5754,1.6722e-11,1.8479e-11,9.4513,45.272,6.5214
9.4679,2.9184e-11,2.8088e-11,9.1189,39.241,6.5112
9.2134,0,1.0289e-10,9.6801,41.722,6.3461
9.403,0,2.3131e-11,8.9199,40.222,-Inf
9.4311,3.613e-11,2.8397e-11,9.2057,36.859,6.472
9.7664,0,8.6779e-13,7.9336,37.425,-Inf
9.0029,5.1886e-11,1.0167e-10,9.5301,44.682,5.937
9.4768,0,2.887e-12,8.5714,49.809,6.3879
9.2082,7.8575e-11,8.0028e-11,9.5192,34.285,6.2268
9.1382,1.4585e-10,5.0211e-11,9.2936,37.1,-Inf
8.72,0,2.0925e-10,9.5687,33.314,6.1866
9.0881,0,3.7111e-11,9.444,36.171,6.356
9.8022,0,0,-Inf,50.331,-Inf
9.3775,0,1.4907e-11,8.9195,42.713,-Inf
8.7409,0,2.918e-11,9.424,28.39,6.1756
9.1292,0,6.2316e-11,9.03,38.678,-Inf
9.5798,0,0,-Inf,46.418,-Inf
8.8552,1.689e-10,1.0668e-10,9.4938,31.307,-Inf
9.437,0,0,-Inf,38.353,-Inf
9.294,0,0,-Inf,28.46,-Inf
9.0896,0,6.1689e-12,8.3394,34.458,6.2081
9.3053,0,9.48e-12,9.0411,43.352,6.3128
9.0124,0,1.8355e-11,9.0493,14.404,-Inf
8.8112,0,4.875e-11,9.0635,31.493,6.2299
8.7885,0,9.0339e-11,9.2783,38.336,-Inf
8.1744,0,8.1159e-11,9.3606,46.596,-Inf
8.6725,0,9.7976e-12,9.0686,35.547,-Inf
8.2889,0,1.6315e-10,9.2833,41.34,-Inf
9.4852,0,0,-Inf,43.759,-Inf
9.2046,0,0,-Inf,28.759,-Inf
8.3388,0,8.2079e-11,9.0743,33.986,-Inf
8.562,0,1.0464e-10,8.8339,34.473,-Inf
8.6349,0,7.0612e-11,9.2009,26.126,-Inf
8.6877,0,1.276e-10,9.0469,35.094,-Inf
9.0792,0,0,-Inf,34.354,-Inf
8.4965,0,5.7165e-11,9.0354,37.819,-Inf
8.9629,0,8.4892e-12,8.5347,32.204,-Inf
8.1781,0,5.1014e-11,9.0091,27.272,-Inf
9.0643,0,1.1775e-11,8.824,37.361,-Inf
8.3655,0,1.3325e-10,9.1794,38.257,-Inf
9.153,0,0,-Inf,31.557,-Inf
9.2489,0,0,-Inf,33.107,-Inf
8.5017,3.7318e-10,2.9406e-11,8.8541,24.637,-Inf
8.0993,NaN,NaN,8.87,27.133,-Inf
8.9744,0,0,-Inf,35.057,-Inf
8.3009,0,4.0832e-11,8.7346,18.274,-Inf
8.8164,0,0,-Inf,22.038,-Inf
8.5863,0,0,-Inf,23.003,-Inf
8.7914,0,0,-Inf,38.795,-Inf
8.495,0,0,-Inf,27.904,-Inf
8.4102,0,0,-Inf,30.851,-Inf
8.9575,0,0,-Inf,22.042,-Inf
9.1691,0,0,-Inf,27.168,-Inf
8.833,0,0,-Inf,30.074,-Inf
8.1247,NaN,NaN,8.4565,15.87,-Inf
9.115,0,0,-Inf,23.939,-Inf
8.6669,0,2.9706e-12,8.5614,24.719,-Inf
8.4582,0,0,-Inf,17.163,-Inf
8.8761,0,0,-Inf,17.639,-Inf
8.9016,0,0,-Inf,32.332,-Inf
8.3488,0,0,-Inf,20.198,-Inf
8.6151,0,0,-Inf,29.489,-Inf
8.6265,0,0,-Inf,18.517,-Inf
8.3607,0,0,-Inf,23.054,-Inf
9.1573,0,0,-Inf,23.076,-Inf
8.9572,0,0,-Inf,33.603,-Inf
8.4188,0,0,7.8757,24.538,-Inf
8.5609,0,0,-Inf,30.211,-Inf
8.1927,0,0,-Inf,14.316,-Inf
8.7276,0,0,-Inf,25.332,-Inf
8.5252,0,0,-Inf,23.006,-Inf
8.4776,0,0,-Inf,25.299,-Inf
8.2393,0,0,-Inf,28.191,-Inf
8.3013,0,0,-Inf,22.966,-Inf
8.3273,0,0,-Inf,10.08,-Inf
8.3497,0,0,-Inf,44.972,-Inf
8.2508,0,0,-Inf,16.081,-Inf
8.3554,0,0,7.8912,47.499,-Inf
